,#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
1,2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,False
2,3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,False
3,3,VenusaurMega Venusaur,Grass,Poison,625,80,100,123,122,120,80,1,False
5,5,Charmeleon,Fire,,405,58,64,58,80,65,80,1,False
6,6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,False
7,6,CharizardMega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1,False
8,6,CharizardMega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1,False
10,8,Wartortle,Water,,405,59,63,80,65,80,58,1,False
11,9,Blastoise,Water,,530,79,83,100,85,105,78,1,False
12,9,BlastoiseMega Blastoise,Water,,630,79,103,120,135,115,78,1,False
15,12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,False
18,15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,False
19,15,BeedrillMega Beedrill,Bug,Poison,495,65,150,40,15,80,145,1,False
21,17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,False
22,18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,False
23,18,PidgeotMega Pidgeot,Normal,Flying,579,83,80,80,135,80,121,1,False
25,20,Raticate,Normal,,413,55,81,60,50,70,97,1,False
27,22,Fearow,Normal,Flying,442,65,90,65,61,61,100,1,False
29,24,Arbok,Poison,,438,60,85,69,65,79,80,1,False
31,26,Raichu,Electric,,485,60,90,55,90,80,110,1,False
33,28,Sandslash,Ground,,450,75,100,110,45,55,65,1,False
34,29,Nidoran♀,Poison,,275,55,47,52,40,40,41,1,False
35,30,Nidorina,Poison,,365,70,62,67,55,55,56,1,False
36,31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,False
38,33,Nidorino,Poison,,365,61,72,57,55,55,65,1,False
39,34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,False
40,35,Clefairy,Fairy,,323,70,45,48,60,65,35,1,False
41,36,Clefable,Fairy,,483,95,70,73,95,90,60,1,False
43,38,Ninetales,Fire,,505,73,76,75,81,100,100,1,False
44,39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,False
45,40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,False
47,42,Golbat,Poison,Flying,455,75,80,70,65,75,90,1,False
49,44,Gloom,Grass,Poison,395,60,65,70,85,75,40,1,False
50,45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,False
52,47,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,False
53,48,Venonat,Bug,Poison,305,60,55,50,40,55,45,1,False
54,49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,False
58,53,Persian,Normal,,440,65,70,60,65,65,115,1,False
60,55,Golduck,Water,,500,80,82,78,95,80,85,1,False
62,57,Primeape,Fighting,,455,65,105,60,60,70,95,1,False
63,58,Growlithe,Fire,,350,55,70,45,70,50,60,1,False
64,59,Arcanine,Fire,,555,90,110,80,100,80,95,1,False
66,61,Poliwhirl,Water,,385,65,65,65,50,50,90,1,False
67,62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,False
70,65,Alakazam,Psychic,,500,55,50,45,135,95,120,1,False
71,65,AlakazamMega Alakazam,Psychic,,590,55,50,65,175,95,150,1,False
72,66,Machop,Fighting,,305,70,80,50,35,35,35,1,False
73,67,Machoke,Fighting,,405,80,100,70,50,60,45,1,False
74,68,Machamp,Fighting,,505,90,130,80,65,85,55,1,False
76,70,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,False
77,71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,False
79,73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,False
81,75,Graveler,Rock,Ground,390,55,95,115,45,45,35,1,False
82,76,Golem,Rock,Ground,495,80,120,130,55,65,45,1,False
84,78,Rapidash,Fire,,500,65,100,70,80,80,105,1,False
85,79,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,False
86,80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,False
